smid,楼盘名称,城区,物业类型,开发商,总套数,总面积,住宅套数,住宅面积,可售总套数,可售总面积,可售住宅套数,可售住宅面积,已售总套数,已售总面积,已售住宅套数,已售住宅面积,累积成交毛坯均价,历史开盘信息,历史开盘信息（次数）
1193,鑫亚·国际时代广场,江干区,"商业,办公,其他",浙江鑫亚建设投资开发有限公司,842,100931.7,0,0,117,28699.88,0,0,715,67436.58,0,0,28092,20100031#20100043#,2
741,兴盛花园,滨江区,"商业,办公",杭州三江房地产开发有限公司,23,1242.47,5,741.8,13,296.57,0,0,5,741.8,5,741.8,5745,20074006#20084016#,2
872,雪峰·水岸枫庭,上城区,"住宅,其他",杭州枫远房地产开发有限公司,330,59783.89,318,44354.78,4,949.99,4,949.99,314,43404.79,314,43404.79,26443,20080169#,1
1368,雅戈尔·西溪晴雪,西湖区,住宅,杭州雅戈尔置业有限公司,492,53184.18,476,52120.85,349,39936.51,349,39936.51,117,10952.82,117,10952.82,24190,20100016#20100077#20100093#,3
1434,雅戈尔·御西湖,西湖区,"住宅,商业,其他",杭州雅戈尔置业有限公司,406,52862.14,389,50826.58,81,11498.84,69,10093.43,317,40322,317,40322,40117,20100102#20100114#,2
680,阳光华城,下沙区,"住宅,商业",休斯顿投资管理（杭州）有限公司,598,62285.77,553,36983.53,0,0,0,0,584,60458.63,550,36837.01,6594,20063010#20073003#20073004#20073007#20083002#,5
727,耀华·湖滨阁,下城区,"商业,办公,其他",杭州环西房地产开发有限公司,13,2854.31,0,0,0,0,0,0,12,2838.3,0,0,30889,20070011#,1
814,耀华·湖滨阁,下城区,"住宅,商业,办公,其他",杭州环西房地产开发有限公司,121,19960.23,112,15604.89,0,0,0,0,92,13390.96,92,13390.96,36577,20080068#,1
731,耀江·环球中心,下城区,办公,浙江耀江文化广场投资开发有限公司,12,10154.51,0,0,3,2630.77,0,0,9,7523.74,0,0,12739,20070015#,1
626,耀江·文鼎苑,西湖区,住宅,杭州耀江文鼎苑开发有限公司,3346,400596.85,3259,385010.19,21,3762.85,11,1795.01,3268,387361.99,3223,379084.98,12176,20050068#20050079#20050087#20050088#20060155#20070044#20070091#20070092#20070112#20070145#20070146#20080053#20080062#,13
